ID,Name,Nationality,Overall,Value,Wage,Preferred Foot,Work Rate,Body Type,Position,Height,Weight,Release Clause,Year,in_2019,in_2020,in_2021,in_2022,in_2023,Age in 2019,Age in 2023,2019 Club,2020 Club,2021 Club,2022 Club,2023 Club,Total Clubs 2019-2023
181872,A. Vidal,Chile,81,€12M,€105K,Right,High/ High,Unique,Substitute,180cm,75kg,€20.4M,2023,1,1,1,1,1,31,34,FC Barcelona,FC Barcelona,Inter,Inter,Inter,2
203551,A. Florenzi,Italy,79,€12.5M,€60K,Right,High/ Medium,Unique,Substitute,173cm,67kg,€21.3M,2023,1,1,1,1,1,27,31,Roma,Valencia CF,Paris Saint-Germain,AC Milan,AC Milan,4
195864,P. Pogba,France,85,€52.5M,€165K,Right,Medium/ Low,Unique,Reserve,191cm,84kg,€89.3M,2023,1,1,1,1,1,25,29,Manchester United,Manchester United,Manchester United,Manchester United,Juventus,2
197445,D. Alaba,Austria,86,€55.5M,€220K,Left,Medium/ Medium,Normal (170-185),Left Centre Back,180cm,78kg,€113.8M,2023,1,1,1,1,1,26,30,FC Bayern München,FC Bayern München,FC Bayern München,Real Madrid CF,Real Madrid CF,2
187961,P. aulinho,Brazil,83,€28.5M,€61K,Right,High/ High,Normal (170-185),Left Centre Midfield,183cm,80kg,€48.5M,2023,1,1,1,1,1,29,32,Guangzhou Evergrande Taobao FC,Guangzhou Evergrande Taobao FC,Guangzhou Evergrande Taobao FC,Al Ahli,Al Ahli,2
189332,J. Alba,Spain,85,€28M,€190K,Left,High/ Medium,Unique,Left Back,170cm,68kg,€57.4M,2023,1,1,1,1,1,29,33,FC Barcelona,FC Barcelona,FC Barcelona,FC Barcelona,FC Barcelona,1
155862,S. Ramos,Spain,84,€7.5M,€75K,Right,High/ Medium,Unique,Right Centre Back,184cm,82kg,€13.9M,2023,1,1,1,1,1,32,36,Real Madrid,Real Madrid,Real Madrid,Paris Saint-Germain,Paris Saint-Germain,2
20801,C. Ronaldo,Portugal,90,€41M,€220K,Right,High/ Low,Unique,Striker,187cm,83kg,€77.9M,2023,1,1,1,1,1,33,37,Juventus,Juventus,Juventus,Manchester United,Manchester United,2
209658,L. Goretzka,Germany,87,€91M,€115K,Right,High/ Medium,Unique,Substitute,189cm,82kg,€157.0M,2023,1,1,1,1,1,23,27,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,1
177413,A. Witsel,Belgium,79,€8.5M,€51K,Right,Low/ Medium,Unique,Substitute,186cm,81kg,€17.4M,2023,1,1,1,1,1,29,33,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Atlético de Madrid,2
193283,T. Delaney,Denmark,81,€21.5M,€33K,Left,Low/ High,Normal (170-185),Substitute,182cm,79kg,€45.2M,2023,1,1,1,1,1,26,30,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Sevilla FC,Sevilla FC,2
158023,L. Messi,Argentina,91,€54M,€195K,Left,Low/ Low,Unique,Right Wing,169cm,67kg,€99.9M,2023,1,1,1,1,1,31,35,FC Barcelona,FC Barcelona,FC Barcelona,Paris Saint-Germain,Paris Saint-Germain,2
212622,J. Kimmich,Germany,89,€105.5M,€130K,Right,High/ Medium,Normal (170-185),Right Defensive Midfield,177cm,75kg,€182.0M,2023,1,1,1,1,1,23,27,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,1
219683,C. Tolisso,France,81,€27.5M,€75K,Right,High/ Medium,Normal (170-185),Right Centre Midfield,181cm,81kg,€52.3M,2023,1,1,1,1,1,23,27,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,Olympique Lyonnais,2
189125,G. Bonaventura,Italy,78,€11M,€52K,Right,High/ Medium,Normal (170-185),Right Centre Midfield,181cm,75kg,€18.7M,2023,1,1,1,1,1,28,32,Milan,Milan,Fiorentina,Fiorentina,Fiorentina,2
135507,F. ernandinho,Brazil,81,€5M,€86K,Right,Medium/ High,Lean (170-185),Substitute,179cm,67kg,€9.3M,2023,1,1,1,1,1,33,36,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,1
223848,S. Milinković-Savić,Serbia,86,€77.5M,€90K,Right,High/ Medium,Normal (185+),Right Centre Midfield,191cm,76kg,€137.6M,2023,1,1,1,1,1,23,27,Lazio,Lazio,Lazio,Lazio,Lazio,1
189509,T. hiago,Spain,86,€55.5M,€180K,Right,Medium/ Medium,Normal (170-185),Left Centre Midfield,174cm,70kg,€102.7M,2023,1,1,1,1,1,27,31,FC Bayern München,FC Bayern München,Liverpool,Liverpool,Liverpool,2
168651,I. Rakitić,Croatia,82,€14M,€39K,Right,Medium/ Medium,Normal (170-185),Substitute,184cm,78kg,€29.4M,2023,1,1,1,1,1,30,34,FC Barcelona,FC Barcelona,Sevilla FC,Sevilla FC,Sevilla FC,2
181458,I. Perišić,Croatia,84,€26.5M,€130K,Right,High/ Medium,Lean (185+),Substitute,186cm,80kg,€50.4M,2023,1,1,1,1,1,29,33,Inter,FC Bayern München,Inter,Inter,Tottenham Hotspur,3
193747,K. oke,Spain,83,€34.5M,€74K,Right,Medium/ Medium,Normal (170-185),Left Centre Midfield,176cm,77kg,€70.7M,2023,1,1,1,1,1,26,30,Atlético Madrid,Atlético Madrid,Atlético Madrid,Atlético de Madrid,Atlético de Madrid,2
181291,G. Wijnaldum,Netherlands,80,€17.5M,€83K,Right,High/ High,Unique,Left Centre Midfield,175cm,74kg,€6.3M,2023,1,1,1,1,1,27,31,Liverpool,Liverpool,Liverpool,Paris Saint-Germain,Roma,3
211117,D. Alli,England,77,€14M,€40K,Right,Medium/ Medium,Unique,Substitute,188cm,80kg,€27.7M,2023,1,1,1,1,1,22,26,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Everton,2
191043,A. Sandro,Brazil,80,€15.5M,€95K,Left,High/ Medium,Unique,Left Back,180cm,80kg,€26.4M,2023,1,1,1,1,1,27,31,Juventus,Juventus,Juventus,Juventus,Juventus,1
208421,S. aúl,Spain,80,€24M,€58K,Left,Medium/ Medium,Lean (170-185),Substitute,184cm,75kg,€51.0M,2023,1,1,1,1,1,23,27,Atlético Madrid,Atlético Madrid,Atlético Madrid,Chelsea,Atlético de Madrid,3
180206,M. Pjanić,Bosnia and Herzegovina,81,€20M,€145K,Right,Medium/ Medium,Normal (170-185),Substitute,178cm,72kg,€41.0M,2023,1,1,1,1,1,28,32,Juventus,Juventus,FC Barcelona,Beşiktaş JK,FC Barcelona,3
192638,M. Alonso,Spain,79,€12.5M,€95K,Left,High/ Low,Lean (185+),Substitute,188cm,85kg,€23.1M,2023,1,1,1,1,1,27,31,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,1
200145,C. asemiro,Brazil,89,€86M,€300K,Right,Medium/ High,Unique,Centre Defensive Midfield,185cm,84kg,€176.3M,2023,1,1,1,1,1,26,30,Real Madrid,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,2
191740,A. Herrera,Spain,79,€14M,€78K,Right,High/ High,Lean (170-185),Substitute,182cm,71kg,€25.9M,2023,1,1,1,1,1,28,32,Manchester United,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,2
201942,R. Firmino,Brazil,83,€35.5M,€150K,Right,High/ High,Unique,Substitute,181cm,76kg,€65.7M,2023,1,1,1,1,1,26,30,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,1
215914,N. Kanté,France,89,€72M,€220K,Right,Medium/ High,Unique,Right Centre Midfield,168cm,70kg,€133.2M,2023,1,1,1,1,1,27,31,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,1
188350,M. Reus,Germany,85,€33.5M,€78K,Right,High/ Medium,Unique,Centre Attacking Midfield,180cm,71kg,€57.0M,2023,1,1,1,1,1,29,33,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,1
188377,K. Walker,England,85,€37.5M,€170K,Right,High/ High,Unique,Right Back,183cm,83kg,€69.4M,2023,1,1,1,1,1,28,32,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,1
183394,M. Sissoko,France,77,€7M,€25K,Right,Medium/ High,Unique,Right Centre Midfield,187cm,91kg,€14.0M,2023,1,1,1,1,1,28,32,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Watford,FC Nantes,3
210008,A. Rabiot,France,80,€24M,€105K,Left,Medium/ Medium,Lean (185+),Substitute,192cm,80kg,€42.6M,2023,1,1,1,1,1,23,27,Paris Saint-Germain,Juventus,Juventus,Juventus,Juventus,2
171875,C. Erkin,Turkey,72,€1.2M,€16K,Left,High/ Low,Lean (170-185),Left Back,181cm,72kg,€2.4M,2023,1,1,1,1,1,29,33,Beşiktaş JK,Beşiktaş JK,Fenerbahçe SK,Fatih Karagümrük S.K.,Fatih Karagümrük S.K.,3
210514,J. Cancelo,Portugal,88,€82.5M,€250K,Right,High/ Medium,Unique,Left Back,182cm,74kg,€152.6M,2023,1,1,1,1,1,24,28,Juventus,Manchester City,Manchester City,Manchester City,Manchester City,2
162347,J. Moutinho,Portugal,81,€10.5M,€70K,Right,Medium/ Medium,Normal (170-),Left Centre Midfield,170cm,61kg,€20.0M,2023,1,1,1,1,1,31,35,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,1
199914,A. llan,Brazil,80,€15M,€46K,Right,Medium/ High,Stocky (170-185),Substitute,175cm,74kg,€28.5M,2023,1,1,1,1,1,27,31,Napoli,Napoli,Everton,Everton,Everton,2
212886,W. Cyprien,France,72,€2.4M,€4K,Right,Medium/ Medium,Normal (170-185),Substitute,180cm,78kg,€4.0M,2023,1,1,1,1,1,23,27,OGC Nice,OGC Nice,OGC Nice,FC Nantes,Parma,3
193352,R. Rodríguez,Switzerland,74,€3.5M,€33K,Left,Medium/ Medium,Normal (170-185),Left Centre Back,182cm,77kg,€6.3M,2023,1,1,1,1,1,25,29,Milan,PSV,Torino,Torino F.C.,Torino F.C.,4
202126,H. Kane,England,89,€105.5M,€240K,Right,High/ High,Unique,Striker,188cm,89kg,€200.5M,2023,1,1,1,1,1,24,28,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,1
171579,R. García,Spain,80,€9M,€28K,Right,Medium/ Medium,Normal (170-185),Substitute,184cm,83kg,€18.9M,2023,1,1,1,1,1,31,35,Athletic Club de Bilbao,Athletic Club de Bilbao,Athletic Club de Bilbao,Athletic Club de Bilbao,Athletic Club de Bilbao,1
209331,M. Salah,Egypt,90,€115.5M,€270K,Left,High/ Medium,Unique,Right Wing,175cm,71kg,€213.7M,2023,1,1,1,1,1,26,30,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,1
209499,F. abinho,Brazil,87,€77M,€185K,Right,Medium/ High,Unique,Centre Defensive Midfield,188cm,78kg,€148.2M,2023,1,1,1,1,1,24,28,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,1
213565,T. Lemar,France,83,€47M,€74K,Left,High/ High,Lean (170-185),Substitute,171cm,63kg,€99.9M,2023,1,1,1,1,1,22,26,Atlético Madrid,Atlético Madrid,Atlético Madrid,Atlético de Madrid,Atlético de Madrid,2
172522,D. Wass,Denmark,79,€11M,€55K,Right,Medium/ Medium,Normal (170-185),Substitute,181cm,74kg,€22.6M,2023,1,1,1,1,1,29,33,Valencia CF,Valencia CF,Valencia CF,Valencia CF,Atlético de Madrid,2
220651,A. ngeliño,Spain,83,€42M,€64K,Left,High/ High,Normal (170-185),Left Wing Back,171cm,69kg,€6.3M,2023,1,1,1,1,1,21,25,PSV,RB Leipzig,RB Leipzig,RB Leipzig,TSG Hoffenheim,3
173909,K. Boateng,Ghana,74,€1.7M,€19K,Right,Medium/ Medium,Normal (185+),Right Centre Midfield,186cm,77kg,€2.9M,2023,1,1,1,1,1,31,35,FC Barcelona,Beşiktaş JK,AC Monza,Hertha BSC,Hertha BSC,4
197083,D. Caligiuri,Italy,75,€2.6M,€26K,Right,Medium/ High,Normal (170-185),Right Midfield,182cm,80kg,€4.7M,2023,1,1,1,1,1,30,34,FC Schalke 04,FC Schalke 04,FC Augsburg,FC Augsburg,FC Augsburg,2
210035,G. rimaldo,Spain,82,€36.5M,€19K,Left,High/ Medium,Lean (170-185),Left Back,172cm,67kg,€75.7M,2023,1,1,1,1,1,22,26,SL Benfica,SL Benfica,SL Benfica,SL Benfica,SL Benfica,1
171877,M. Hamšík,Slovakia,80,€9.5M,€45K,Right,High/ Medium,Normal (170-185),Left Centre Midfield,183cm,73kg,€18.1M,2023,1,1,1,1,1,30,34,Dalian YiFang FC,Dalian YiFang FC,Dalian YiFang FC,Trabzonspor,Trabzonspor,2
209297,F. red,Brazil,80,€20.5M,€120K,Left,High/ High,Lean (170-),Centre Defensive Midfield,169cm,62kg,€39.0M,2023,1,1,1,1,1,25,29,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,1
193082,J. Cuadrado,Colombia,83,€13.5M,€120K,Right,High/ Medium,Lean (170-185),Right Back,179cm,72kg,€23.0M,2023,1,1,1,1,1,30,34,Juventus,Juventus,Juventus,Juventus,Juventus,1
202371,T. Meunier,Belgium,78,€12M,€41K,Right,High/ Medium,Normal (185+),Right Back,191cm,90kg,€20.4M,2023,1,1,1,1,1,26,30,Paris Saint-Germain,Paris Saint-Germain,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,2
189242,C. outinho,Brazil,82,€29.5M,€100K,Right,High/ Medium,Normal (170-185),Left Wing,172cm,68kg,€56.1M,2023,1,1,1,1,1,26,30,FC Barcelona,FC Bayern München,FC Barcelona,FC Barcelona,Aston Villa,3
182521,T. Kroos,Germany,88,€72M,€310K,Right,Medium/ Medium,Normal (170-185),Left Centre Midfield,183cm,76kg,€147.6M,2023,1,1,1,1,1,28,32,Real Madrid,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,2
179813,E. Cavani,Uruguay,82,€15M,€145K,Right,High/ High,Unique,Substitute,185cm,77kg,€27.8M,2023,1,1,1,1,1,31,34,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Manchester United,Manchester United,2
183711,J. Henderson,England,83,€28.5M,€135K,Right,High/ High,Normal (170-185),Right Centre Midfield,182cm,80kg,€52.7M,2023,1,1,1,1,1,28,32,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,1
201455,G. Kondogbia,Central African Republic,82,€29.5M,€71K,Left,Medium/ High,Lean (185+),Centre Defensive Midfield,188cm,80kg,€60.5M,2023,1,1,1,1,1,25,29,Valencia CF,Valencia CF,Valencia CF,Atlético de Madrid,Atlético de Madrid,2
216352,M. Brozović,Croatia,86,€58M,€110K,Right,Medium/ Medium,Lean (170-185),Centre Defensive Midfield,181cm,68kg,€95.7M,2023,1,1,1,1,1,25,29,Inter,Inter,Inter,Inter,Inter,1
162240,M. Dembélé,Belgium,79,€11M,€21K,Left,High/ High,Normal (185+),Left Centre Midfield,185cm,85kg,€17.1M,2023,1,1,1,1,1,30,33,Guangzhou R&F FC,Guangzhou R&F FC,Guangzhou R&F FC,Guangzhou City,Guangzhou City,2
197965,P. izzi,Portugal,79,€14.5M,€17K,Right,High/ Medium,Normal (170-185),Substitute,177cm,72kg,€6.3M,2023,1,1,1,1,1,28,31,SL Benfica,SL Benfica,SL Benfica,SL Benfica,İstanbul Başakşehir FK,2
171897,A. Guardado,Mexico,77,€3M,€16K,Left,Medium/ Medium,Lean (170-),Left Defensive Midfield,169cm,67kg,€6.3M,2023,1,1,1,1,1,31,35,Real Betis,Real Betis,Real Betis,Real Betis Balompié,Real Betis Balompié,2
186345,K. Trippier,England,84,€30.5M,€120K,Right,Medium/ Medium,Normal (170-185),Right Back,173cm,71kg,€58.0M,2023,1,1,1,1,1,27,31,Tottenham Hotspur,Atlético Madrid,Atlético Madrid,Atlético de Madrid,Newcastle United,4
208333,E. Can,Germany,82,€30.5M,€63K,Right,Medium/ High,Stocky (185+),Substitute,186cm,86kg,€51.9M,2023,1,1,1,1,1,24,28,Juventus,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,2
230658,A. rthur,Brazil,80,€26.5M,€100K,Right,Medium/ Medium,Unique,Substitute,171cm,73kg,€47.0M,2023,1,1,1,1,1,21,25,FC Barcelona,FC Barcelona,Juventus,Juventus,Juventus,2
199042,C. Aránguiz,Chile,80,€10.5M,€53K,Right,Medium/ High,Lean (170-185),Substitute,171cm,68kg,€17.9M,2023,1,1,1,1,1,29,33,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen,1
199556,M. Verratti,Italy,87,€77.5M,€155K,Right,Medium/ High,Unique,Right Centre Midfield,165cm,60kg,€143.4M,2023,1,1,1,1,1,25,29,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,1
188545,R. Lewandowski,Poland,91,€84M,€420K,Right,High/ Medium,Unique,Striker,185cm,81kg,€172.2M,2023,1,1,1,1,1,29,33,FC Bayern München,FC Bayern München,FC Bayern München,FC Bayern München,FC Barcelona,2
183498,M. Parolo,Italy,79,€4.9M,€40K,Right,High/ High,Lean (170-185),Substitute,184cm,75kg,€8.3M,2023,1,1,1,1,1,33,35,Lazio,Lazio,Lazio,Lazio,Lazio,1
190871,N. Jr,Brazil,89,€99.5M,€200K,Right,High/ Medium,Unique,Left Wing,175cm,68kg,€184.1M,2023,1,1,1,1,1,26,30,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,1
230938,F. Kessié,Côte d'Ivoire,84,€47.5M,€165K,Right,High/ High,Normal (170-185),Substitute,183cm,88kg,€100.9M,2023,1,1,1,1,1,21,25,Milan,Milan,Milan,AC Milan,FC Barcelona,3
210243,R. Pereira,Portugal,83,€33M,€105K,Right,High/ High,Unique,Right Back,175cm,70kg,€62.7M,2023,1,1,1,1,1,24,28,Leicester City,Leicester City,Leicester City,Leicester City,Leicester City,1
186942,İ. Gündoğan,Germany,85,€44M,€185K,Right,High/ Medium,Normal (170-185),Substitute,180cm,80kg,€81.4M,2023,1,1,1,1,1,27,31,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,1
179846,S. Khedira,Germany,81,€13M,€52K,Right,Medium/ Medium,Normal (185+),Left Defensive Midfield,189cm,90kg,€22.1M,2023,1,1,1,1,1,31,33,Juventus,Juventus,Juventus,Hertha BSC,Hertha BSC,2
226226,G. Lo Celso,Argentina,81,€31.5M,€100K,Left,High/ Medium,Normal (170-185),Reserve,177cm,68kg,€62.2M,2023,1,1,1,1,1,22,26,Real Betis,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,2
210896,M. Sanson,France,76,€8.5M,€66K,Right,Medium/ Medium,Normal (170-185),Substitute,180cm,73kg,€16.8M,2023,1,1,1,1,1,23,27,Olympique de Marseille,Olympique de Marseille,Olympique de Marseille,Aston Villa,Aston Villa,2
178562,É. Banega,Argentina,81,€12M,€47K,Right,Medium/ Medium,Normal (170-185),Right Centre Midfield,176cm,78kg,€20.4M,2023,1,1,1,1,1,30,34,Sevilla FC,Sevilla FC,Al Shabab,Al Shabab,Al Shabab,2
228702,F. de Jong,Netherlands,87,€116.5M,€230K,Right,High/ Medium,Unique,Right Centre Midfield,180cm,74kg,€247.6M,2023,1,1,1,1,1,21,25,Ajax,FC Barcelona,FC Barcelona,FC Barcelona,FC Barcelona,2
200458,L. Digne,France,82,€27.5M,€100K,Left,High/ Medium,Unique,Left Back,178cm,74kg,€52.3M,2023,1,1,1,1,1,24,28,Everton,Everton,Everton,Everton,Aston Villa,2
231969,R. Malinovskyi,Ukraine,82,€30.5M,€73K,Left,Medium/ Medium,Stocky (170-185),Left Forward,181cm,79kg,€51.9M,2023,1,1,1,1,1,25,29,KRC Genk,Atalanta,Atalanta,Atalanta,Atalanta,2
184941,A. Sánchez,Chile,79,€11M,€48K,Right,Medium/ Medium,Unique,Substitute,168cm,62kg,€20.9M,2023,1,1,1,1,1,29,33,Manchester United,Inter,Inter,Inter,Olympique de Marseille,3
208722,S. Mané,Senegal,89,€99.5M,€145K,Right,High/ Medium,Unique,Striker,174cm,69kg,€164.2M,2023,1,1,1,1,1,26,30,Liverpool,Liverpool,Liverpool,Liverpool,FC Bayern München,2
212523,A. Talisca,Brazil,82,€31M,€64K,Left,High/ Low,Unique,Centre Forward,190cm,80kg,€52.7M,2023,1,1,1,1,1,24,28,Guangzhou Evergrande Taobao FC,Guangzhou Evergrande Taobao FC,Guangzhou Evergrande Taobao FC,Al Nassr,Al Nassr,2
190875,J. Kucka,Slovakia,75,€2.6M,€5K,Right,High/ Medium,Normal (185+),Left Centre Midfield,186cm,84kg,€6.3M,2023,1,1,1,1,1,31,34,Parma,Parma,Parma,Watford,Watford,2
208141,G. abriel,Brazil,75,€5.5M,€14K,Left,Medium/ High,Normal (185+),Reserve,187cm,83kg,€11.0M,2023,1,1,1,1,1,24,28,SL Benfica,SL Benfica,SL Benfica,SL Benfica,SL Benfica,1
183277,E. Hazard,Belgium,84,€35M,€220K,Right,Medium/ Medium,Unique,Substitute,175cm,74kg,€71.8M,2023,1,1,1,1,1,27,31,Chelsea,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,3
203535,T. Vilhena,Netherlands,76,€8M,€19K,Left,High/ High,Stocky (170-185),Substitute,175cm,70kg,€16.8M,2023,1,1,1,1,1,23,27,Feyenoord,Free Agent,Free Agent,Free Agent,RCD Espanyol de Barcelona,3
205600,S. Umtiti,France,79,€15M,€125K,Left,Low/ Medium,Unique,Substitute,182cm,75kg,€30.8M,2023,1,1,1,1,1,24,28,FC Barcelona,FC Barcelona,FC Barcelona,FC Barcelona,FC Barcelona,1
183898,Á. Di María,Argentina,84,€20M,€160K,Left,High/ Medium,Unique,Right Wing,180cm,69kg,€34.0M,2023,1,1,1,1,1,30,34,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Juventus,2
164169,F. Luís,Brazil,85,€21.5M,€80K,Left,High/ Medium,Lean (170-185),Left Back,182cm,74kg,€44.1M,2023,1,1,1,1,1,32,32,Atlético Madrid,Atlético Madrid,Atlético Madrid,Atlético de Madrid,Atlético de Madrid,2
209889,R. Guerreiro,Portugal,82,€27.5M,€57K,Left,High/ Low,Normal (170-),Left Back,170cm,71kg,€46.8M,2023,1,1,1,1,1,24,28,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,1
213874,T. Mendes,Brazil,76,€6.5M,€48K,Right,Medium/ Medium,Normal (170-185),Right Centre Back,177cm,75kg,€12.4M,2023,1,1,1,1,1,26,30,LOSC Lille,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,2
193738,Y. Belhanda,Morocco,73,€2.4M,€18K,Right,Medium/ Low,Normal (170-185),Centre Attacking Midfield,179cm,75kg,€4.8M,2023,1,1,1,1,1,28,32,Galatasaray SK,Galatasaray SK,Galatasaray SK,Adana Demirspor,Adana Demirspor,2
192318,M. Götze,Germany,81,€25M,€38K,Right,Medium/ Medium,Normal (170-185),Left Forward,176cm,72kg,€42.5M,2023,1,1,1,1,1,26,30,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,PSV,Eintracht Frankfurt,3
189513,P. arejo,Spain,86,€42M,€64K,Right,Medium/ Medium,Normal (170-185),Left Centre Midfield,182cm,74kg,€88.2M,2023,1,1,1,1,1,29,33,Valencia CF,Valencia CF,Villarreal CF,Villarreal CF,Villarreal CF,2
138412,J. Milner,England,78,€4.4M,€69K,Right,Medium/ High,Stocky (170-185),Substitute,175cm,70kg,€8.1M,2023,1,1,1,1,1,32,36,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,1
187072,L. Stindl,Germany,79,€11M,€34K,Right,Medium/ Medium,Normal (170-185),Centre Attacking Midfield,181cm,80kg,€18.7M,2023,1,1,1,1,1,29,33,Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach,1
224293,R. Neves,Portugal,83,€47.5M,€105K,Right,Low/ High,Normal (170-185),Right Centre Midfield,180cm,80kg,€93.8M,2023,1,1,1,1,1,21,25,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,1
199304,D. anilo,Brazil,80,€18M,€95K,Right,Medium/ High,Lean (170-185),Substitute,184cm,78kg,€30.6M,2023,1,1,1,1,1,26,30,Manchester City,Juventus,Juventus,Juventus,Juventus,2
208618,L. Vázquez,Spain,81,€18.5M,€140K,Right,High/ Medium,Normal (170-185),Substitute,173cm,70kg,€37.9M,2023,1,1,1,1,1,27,31,Real Madrid,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,2
